shelter_name,region,count,long_term,adopted,species,image_url,care_reg_no,careAddr,lat,lon
(사)대구수의사회,,0,,,,,327346000000000.0,,0.0,0.0
(사)동물보호관리협회,부산광역시,88,0.0,8.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507310907970.png,348535000000000.0,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,35.17892406,128.8997595
(사)동부동물보호협회,부산광역시,72,0.0,2.0,212.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507301707128.jpg,326331000000000.0,부산광역시 해운대구 송정2로13번길 46 (송정동) ,35.19480895,129.2063176
(사)영일동물플러스,경상북도,104,5.0,15.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507311607274.jpg,,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,36.14568361,129.33262
(사)하얀비둘기,부산광역시,82,0.0,2.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/20250731140775.png,326336000000000.0,부산광역시 강서구 제도로 726 (강동동) ,35.17749908,128.9170233
119동물병원,대구광역시,9,0.0,1.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507171107433.jpg,327348000000000.0,대구광역시 달성군 다사읍 달구벌대로 893 (다사읍) ,35.85716067,128.4665435
21세기동물병원,전라북도,1,0.0,0.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/06/202507021407583.jpg,,전라북도 전주시 덕진구 송천동1가 626-42,35.86151597,127.1149458
24시센트럴동물메디컬,서울특별시,3,1.0,0.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/20250728100734.jpeg,,서울특별시 성동구 고산자로 207 (행당동) ,37.55869405,127.0337388
24시아이동물메디컬,경기도,48,4.0,4.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507291607238.jpg,,경기도 부천시 오정구 소사로 779 (원종동) 201호,37.52564337,126.8045559
GD동물병원,서울특별시,6,0.0,0.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507221807937.jpg,311324000000000.0,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,37.54824448,127.1731057
MK동물병원,,0,,,,,331373000000000.0,,0.0,0.0
가나동물병원,경기도,22,0.0,2.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507302107416.jpg,,경기도 부천시 소사구 경인로 72 (송내동) ,37.48354504,126.7631804
가정견훈련소,충청북도,12,0.0,0.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507301607909.jpg,343557000000000.0,충청북도 증평군 도안면 입장길 239  ,36.8469669,127.6082351
가정동물병원,인천광역시,60,0.0,4.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507301107334.jpg,328356000000000.0,인천광역시 서구 가정로 346 (가정동) ,37.51566555,126.6730219
가평군유기동물보호소,경기도,13,0.0,0.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507291007966.jpg,341416000000000.0,"경기도 가평군 가평읍 아랫마장길 59 (가평읍, 농업기술센터) 가평 유기동물 보호소(10:00~18:00)",37.84600448,127.4986856
강남동물병원,울산광역시,25,3.0,1.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507301507720[2].jpg,331370000000000.0,울산광역시 남구 돋질로 232 (달동) 1층,35.54260399,129.3304745
강동구청 반려동물팀 ,,0,,,,,311324000000000.0,,0.0,0.0
강동리본센터(reborn),서울특별시,7,1.0,0.0,128.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507291307372.jpg,311324000000000.0,서울특별시 강동구 양재대로81길 73 (성내동) ,37.52386736,127.1302661
강릉시 동물사랑센터,강원도,27,0.0,3.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507311207131.jpg,342420000000000.0,강원도 강릉시 성산면 내맬길 172  ,37.69891761,128.8292654
강진군 유기견 보호소,전라남도,8,1.0,0.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507211007246.jpeg,346492000000000.0,"전라남도 강진군 강진읍 초지길 109-62 (강진읍, 강진군상하수도사업소) ",34.62481146,126.7773923
강현림동물병원,서울특별시,13,0.0,2.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507311607771.jpg,,서울특별시 양천구 등촌로 160 (목동) 1층,37.54403832,126.862421
거제시유기동물보호소,경상남도,58,14.0,7.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2025/07/202507281607958.jpg,348537000000000.0,경상남도 거제시 사등면 두동로1길 109  거제시유기동물보호소,34.88376961,128.5736717
거창유기동물보호센터,,0,,,,,348547000000000.0,,0.0,0.0
